ma_kh,tuoi,goi_cuoc,khu_vuc,so_thang_su_dung,cuoc_hang_thang,tong_cuoc,so_lan_goi_ho_tro,label
KH00001,48.0,co_ban,Trung,19.0,150.0,2850.0,9.0,1.0
KH00002,32.0,co_ban,Nam,16.0,150.0,2400.0,2.0,1.0
KH00003,18.0,tieu_chuan,Trung,1.0,230.0,230.0,2.0,0.0
KH00004,25.0,co_ban,Nam,24.0,130.0,3120.0,1.0,0.0
KH00005,27.0,co_ban,Bac,17.0,110.0,1870.0,1.0,0.0
KH00006,18.0,tieu_chuan,Nam,12.0,230.0,2760.0,0.0,0.0
KH00007,21.0,tieu_chuan,Bac,120.0,320.0,38400.0,2.0,0.0
KH00008,35.0,tieu_chuan,Nam,5.0,300.0,1500.0,1.0,1.0
KH00009,43.0,tieu_chuan,Bac,81.0,290.0,23490.0,0.0,0.0
KH00010,41.0,co_ban,Trung,55.0,150.0,8250.0,3.0,0.0
KH00011,30.0,co_ban,Bac,14.0,140.0,1960.0,2.0,0.0
KH00012,51.0,co_ban,Bac,11.0,150.0,1650.0,0.0,1.0
KH00013,45.0,co_ban,Nam,53.0,140.0,7420.0,0.0,1.0
KH00014,21.0,tieu_chuan,Bac,49.0,210.0,10290.0,0.0,0.0
KH00015,44.0,co_ban,Trung,19.0,160.0,3040.0,0.0,0.0
KH00016,47.0,co_ban,Trung,19.0,100.0,1900.0,0.0,0.0
KH00017,25.0,co_ban,Bac,30.0,120.0,3600.0,0.0,1.0
KH00018,64.0,cao_cap,Trung,19.0,430.0,8170.0,1.0,0.0
KH00019,39.0,co_ban,Trung,39.0,100.0,3900.0,1.0,1.0
KH00020,38.0,tieu_chuan,Trung,17.0,230.0,3910.0,1.0,1.0
KH00021,42.0,co_ban,Nam,24.0,140.0,3360.0,4.0,0.0
KH00022,38.0,tieu_chuan,Nam,50.0,230.0,11500.0,2.0,0.0
KH00023,26.0,cao_cap,Trung,9.0,430.0,3870.0,1.0,1.0
KH00024,18.0,co_ban,Bac,3.0,140.0,420.0,0.0,1.0
KH00025,40.0,cao_cap,Bac,3.0,660.0,1980.0,0.0,1.0
KH00026,28.0,co_ban,Trung,28.0,150.0,4200.0,1.0,1.0
KH00027,45.0,tieu_chuan,Trung,2.0,260.0,520.0,3.0,1.0
KH00028,45.0,tieu_chuan,Nam,15.0,310.0,4650.0,2.0,1.0
KH00029,80.0,co_ban,Trung,15.0,140.0,2100.0,2.0,0.0
KH00030,26.0,co_ban,Nam,37.0,130.0,4810.0,3.0,1.0
KH00031,44.0,co_ban,Nam,28.0,120.0,3360.0,5.0,0.0
KH00032,53.0,co_ban,Bac,2.0,140.0,280.0,1.0,1.0
KH00033,19.0,co_ban,Bac,11.0,110.0,1210.0,0.0,0.0
KH00034,41.0,cao_cap,Trung,43.0,440.0,18920.0,5.0,1.0
KH00035,37.0,co_ban,Nam,20.0,140.0,2800.0,0.0,0.0
KH00036,27.0,co_ban,Trung,30.0,120.0,3600.0,2.0,1.0
KH00037,43.0,co_ban,Nam,10.0,150.0,1500.0,2.0,1.0
KH00038,36.0,co_ban,Nam,26.0,150.0,3900.0,2.0,0.0
KH00039,36.0,tieu_chuan,Nam,26.0,310.0,8060.0,0.0,0.0
KH00040,51.0,co_ban,Bac,2.0,120.0,240.0,1.0,1.0
KH00041,37.0,co_ban,Nam,26.0,100.0,2600.0,2.0,1.0
KH00042,32.0,co_ban,Bac,44.0,150.0,6600.0,8.0,1.0
KH00043,38.0,tieu_chuan,Bac,4.0,240.0,960.0,1.0,1.0
KH00044,59.0,cao_cap,Nam,12.0,590.0,7080.0,6.0,0.0
KH00045,23.0,co_ban,Bac,28.0,130.0,3640.0,2.0,0.0
KH00046,24.0,tieu_chuan,Trung,11.0,220.0,2420.0,2.0,1.0
KH00047,18.0,tieu_chuan,Bac,22.0,320.0,7040.0,4.0,0.0
KH00048,32.0,co_ban,Bac,4.0,150.0,600.0,2.0,0.0
KH00049,39.0,tieu_chuan,Trung,6.0,290.0,1740.0,4.0,1.0
KH00050,42.0,tieu_chuan,Trung,13.0,280.0,3640.0,0.0,0.0
KH00051,58.0,cao_cap,Bac,28.0,590.0,16520.0,1.0,1.0
KH00052,61.0,cao_cap,Bac,28.0,600.0,16800.0,7.0,1.0
KH00053,48.0,co_ban,Trung,4.0,120.0,480.0,1.0,1.0
KH00054,18.0,tieu_chuan,Nam,31.0,240.0,7440.0,3.0,1.0
KH00055,57.0,co_ban,Bac,28.0,130.0,3640.0,1.0,0.0
KH00056,21.0,tieu_chuan,Trung,4.0,250.0,1000.0,0.0,0.0
KH00057,29.0,co_ban,Bac,7.0,140.0,980.0,0.0,0.0
KH00058,39.0,tieu_chuan,Bac,12.0,290.0,3480.0,3.0,1.0
KH00059,47.0,co_ban,Bac,74.0,140.0,10360.0,1.0,0.0
KH00060,49.0,tieu_chuan,Nam,51.0,320.0,16320.0,3.0,0.0
KH00061,49.0,co_ban,Bac,13.0,130.0,1690.0,1.0,0.0
KH00062,33.0,tieu_chuan,Trung,14.0,280.0,3920.0,0.0,0.0
KH00063,35.0,co_ban,Nam,24.0,130.0,3120.0,1.0,0.0
KH00064,36.0,co_ban,Trung,93.0,150.0,13950.0,8.0,0.0
KH00065,39.0,cao_cap,Trung,9.0,560.0,5040.0,3.0,1.0
KH00066,49.0,co_ban,Nam,7.0,140.0,980.0,0.0,0.0
KH00067,35.0,co_ban,Nam,10.0,100.0,1000.0,0.0,0.0
KH00068,48.0,cao_cap,Trung,28.0,490.0,13720.0,0.0,0.0
KH00069,37.0,co_ban,Bac,2.0,130.0,260.0,5.0,1.0
KH00070,57.0,tieu_chuan,Nam,33.0,310.0,10230.0,0.0,1.0
KH00071,,tieu_chuan,Trung,12.0,230.0,2760.0,3.0,1.0
KH00072,26.0,cao_cap,Trung,6.0,500.0,3000.0,1.0,0.0
KH00073,42.0,co_ban,Bac,17.0,130.0,2210.0,3.0,0.0
KH00074,38.0,cao_cap,Bac,5.0,670.0,3350.0,2.0,0.0
KH00075,50.0,tieu_chuan,Nam,1.0,200.0,200.0,0.0,1.0
KH00076,49.0,cao_cap,Bac,4.0,480.0,1920.0,0.0,0.0
KH00077,18.0,co_ban,Bac,55.0,130.0,7150.0,1.0,0.0
KH00078,23.0,cao_cap,Nam,5.0,510.0,2550.0,8.0,1.0
KH00079,27.0,co_ban,Nam,12.0,120.0,1440.0,2.0,0.0
KH00080,20.0,cao_cap,Bac,38.0,650.0,24700.0,0.0,1.0
KH00081,,tieu_chuan,Trung,23.0,210.0,4830.0,0.0,0.0
KH00082,26.0,co_ban,Bac,47.0,110.0,5170.0,1.0,1.0
KH00083,28.0,co_ban,Bac,50.0,110.0,5500.0,2.0,1.0
KH00084,55.0,tieu_chuan,Nam,9.0,250.0,2250.0,0.0,0.0
KH00085,37.0,co_ban,Bac,72.0,130.0,9360.0,2.0,1.0
KH00086,41.0,tieu_chuan,Bac,25.0,210.0,5250.0,1.0,0.0
KH00087,42.0,tieu_chuan,Nam,54.0,270.0,14580.0,7.0,0.0
KH00088,26.0,cao_cap,Nam,62.0,550.0,34100.0,4.0,1.0
KH00089,38.0,cao_cap,Trung,19.0,500.0,9500.0,10.0,1.0
KH00090,18.0,tieu_chuan,Bac,9.0,210.0,1890.0,0.0,0.0
KH00091,22.0,co_ban,Trung,2.0,100.0,200.0,0.0,0.0
KH00092,27.0,co_ban,Trung,1.0,130.0,130.0,1.0,0.0
KH00093,57.0,co_ban,Nam,11.0,110.0,1210.0,2.0,0.0
KH00094,38.0,tieu_chuan,Nam,6.0,220.0,1320.0,7.0,1.0
KH00095,64.0,co_ban,Nam,12.0,130.0,1560.0,0.0,0.0
KH00096,35.0,tieu_chuan,Bac,3.0,230.0,690.0,0.0,0.0
KH00097,50.0,cao_cap,Bac,41.0,670.0,27470.0,1.0,0.0
KH00098,41.0,cao_cap,Nam,6.0,480.0,2880.0,1.0,0.0
KH00099,50.0,co_ban,Trung,1.0,120.0,120.0,0.0,0.0
KH00100,46.0,tieu_chuan,Trung,17.0,240.0,4080.0,0.0,0.0
KH00101,44.0,cao_cap,Nam,51.0,590.0,30090.0,4.0,0.0
KH00102,18.0,tieu_chuan,Trung,34.0,270.0,9180.0,0.0,0.0
KH00103,29.0,tieu_chuan,Nam,11.0,260.0,2860.0,4.0,0.0
KH00104,21.0,co_ban,Nam,2.0,150.0,300.0,1.0,1.0
KH00105,20.0,co_ban,Nam,37.0,140.0,5180.0,2.0,0.0
KH00106,44.0,co_ban,Bac,7.0,150.0,1050.0,0.0,0.0
KH00107,33.0,tieu_chuan,Bac,21.0,270.0,5670.0,3.0,1.0
KH00108,55.0,cao_cap,Bac,7.0,550.0,3850.0,2.0,0.0
KH00109,28.0,co_ban,Trung,2.0,150.0,300.0,2.0,1.0
KH00110,46.0,co_ban,Trung,62.0,120.0,7440.0,0.0,0.0
KH00111,70.0,tieu_chuan,Bac,1.0,230.0,230.0,0.0,0.0
KH00112,40.0,co_ban,Bac,13.0,120.0,1560.0,4.0,1.0
KH00113,43.0,co_ban,Nam,9.0,140.0,1260.0,3.0,1.0
KH00114,43.0,cao_cap,Trung,13.0,540.0,7020.0,0.0,0.0
KH00115,45.0,cao_cap,Bac,8.0,510.0,4080.0,1.0,0.0
KH00116,46.0,tieu_chuan,Bac,92.0,260.0,23920.0,2.0,0.0
KH00117,31.0,tieu_chuan,Bac,23.0,270.0,6210.0,2.0,0.0
KH00118,40.0,tieu_chuan,Trung,2.0,270.0,540.0,0.0,1.0
KH00119,31.0,tieu_chuan,Nam,7.0,250.0,1750.0,2.0,1.0
KH00120,42.0,co_ban,Nam,6.0,130.0,780.0,0.0,0.0
KH00121,43.0,tieu_chuan,Trung,18.0,240.0,4320.0,0.0,1.0
KH00122,21.0,tieu_chuan,Bac,13.0,260.0,3380.0,0.0,0.0
KH00123,48.0,co_ban,Nam,116.0,140.0,16240.0,1.0,0.0
KH00124,39.0,co_ban,Nam,42.0,160.0,6720.0,3.0,0.0
KH00125,40.0,tieu_chuan,Nam,9.0,300.0,2700.0,5.0,1.0
KH00126,25.0,co_ban,Bac,55.0,120.0,6600.0,1.0,0.0
KH00127,41.0,cao_cap,Bac,4.0,460.0,1840.0,4.0,1.0
KH00128,50.0,co_ban,Nam,58.0,130.0,7540.0,4.0,0.0
KH00129,30.0,co_ban,Bac,1.0,100.0,100.0,1.0,1.0
KH00130,26.0,co_ban,Trung,17.0,140.0,2380.0,0.0,0.0
KH00131,45.0,co_ban,Trung,5.0,100.0,500.0,2.0,0.0
KH00132,36.0,cao_cap,Bac,29.0,440.0,12760.0,4.0,1.0
KH00133,34.0,cao_cap,Bac,62.0,570.0,35340.0,1.0,0.0
KH00134,40.0,co_ban,Bac,72.0,120.0,8640.0,0.0,0.0
KH00135,58.0,tieu_chuan,Trung,43.0,310.0,13330.0,4.0,1.0
KH00136,18.0,tieu_chuan,Bac,27.0,220.0,5940.0,1.0,0.0
KH00137,34.0,cao_cap,Trung,34.0,610.0,20740.0,1.0,0.0
KH00138,20.0,co_ban,Nam,14.0,120.0,1680.0,2.0,0.0
KH00139,41.0,cao_cap,Nam,55.0,630.0,34650.0,1.0,0.0
KH00140,33.0,co_ban,Trung,59.0,120.0,7080.0,3.0,0.0
KH00141,43.0,cao_cap,Trung,35.0,520.0,18200.0,2.0,0.0
KH00142,57.0,co_ban,Trung,7.0,140.0,980.0,2.0,1.0
KH00143,35.0,co_ban,Bac,44.0,140.0,6160.0,0.0,0.0
KH00144,30.0,co_ban,Nam,9.0,130.0,1170.0,2.0,1.0
KH00145,40.0,cao_cap,Nam,7.0,550.0,3850.0,1.0,1.0
KH00146,52.0,co_ban,Bac,12.0,110.0,1320.0,1.0,1.0
KH00147,51.0,tieu_chuan,Trung,12.0,270.0,3240.0,2.0,0.0
KH00148,35.0,cao_cap,Bac,1.0,420.0,420.0,2.0,1.0
KH00149,39.0,tieu_chuan,Nam,30.0,250.0,7500.0,1.0,0.0
KH00150,58.0,co_ban,Nam,48.0,,5280.0,1.0,0.0
KH00151,33.0,co_ban,Bac,3.0,140.0,420.0,1.0,1.0
KH00152,50.0,co_ban,Bac,43.0,120.0,5160.0,2.0,0.0
KH00153,24.0,co_ban,Nam,4.0,140.0,560.0,1.0,1.0
KH00154,22.0,co_ban,Nam,78.0,150.0,11700.0,2.0,0.0
KH00155,18.0,cao_cap,Bac,11.0,550.0,6050.0,2.0,1.0
KH00156,35.0,co_ban,Nam,19.0,130.0,2470.0,2.0,0.0
KH00157,30.0,cao_cap,Bac,6.0,450.0,2700.0,0.0,1.0
KH00158,43.0,co_ban,Nam,29.0,110.0,3190.0,0.0,0.0
KH00159,46.0,co_ban,Bac,7.0,150.0,1050.0,1.0,0.0
KH00160,47.0,tieu_chuan,Bac,25.0,320.0,8000.0,4.0,0.0
KH00161,41.0,cao_cap,Bac,11.0,650.0,7150.0,0.0,1.0
KH00162,24.0,cao_cap,Bac,1.0,590.0,590.0,2.0,1.0
KH00163,40.0,tieu_chuan,Bac,38.0,250.0,9500.0,2.0,0.0
KH00164,22.0,co_ban,Trung,24.0,120.0,2880.0,2.0,1.0
KH00165,34.0,co_ban,Nam,30.0,140.0,4200.0,1.0,0.0
KH00166,38.0,tieu_chuan,Nam,3.0,300.0,900.0,1.0,0.0
KH00167,30.0,co_ban,Bac,7.0,150.0,1050.0,0.0,0.0
KH00168,32.0,tieu_chuan,Nam,50.0,210.0,10500.0,0.0,0.0
KH00169,31.0,cao_cap,Bac,2.0,520.0,1040.0,2.0,1.0
KH00170,38.0,cao_cap,Bac,7.0,530.0,3710.0,2.0,1.0
KH00171,33.0,tieu_chuan,Trung,2.0,260.0,520.0,0.0,0.0
KH00172,25.0,co_ban,Trung,3.0,140.0,420.0,2.0,0.0
KH00173,22.0,cao_cap,Bac,44.0,430.0,18920.0,7.0,0.0
KH00174,18.0,tieu_chuan,Trung,120.0,240.0,28800.0,9.0,0.0
KH00175,39.0,cao_cap,Bac,37.0,600.0,22200.0,2.0,1.0
KH00176,21.0,co_ban,Bac,120.0,150.0,18000.0,2.0,0.0
KH00177,20.0,co_ban,Nam,65.0,120.0,7800.0,2.0,0.0
KH00178,53.0,tieu_chuan,Trung,29.0,310.0,8990.0,2.0,0.0
KH00179,49.0,tieu_chuan,Bac,4.0,240.0,960.0,1.0,0.0
KH00180,42.0,cao_cap,Trung,3.0,630.0,1890.0,5.0,1.0
KH00181,47.0,tieu_chuan,Bac,13.0,260.0,3380.0,1.0,1.0
KH00182,50.0,tieu_chuan,Bac,40.0,200.0,8000.0,0.0,0.0
KH00183,18.0,tieu_chuan,Nam,1.0,200.0,200.0,1.0,0.0
KH00184,25.0,co_ban,Bac,26.0,100.0,2600.0,2.0,1.0
KH00185,52.0,co_ban,Bac,2.0,140.0,280.0,2.0,1.0
KH00186,18.0,tieu_chuan,Nam,3.0,220.0,660.0,1.0,1.0
KH00187,43.0,tieu_chuan,Nam,4.0,250.0,1000.0,0.0,0.0
KH00188,,cao_cap,Nam,2.0,530.0,1060.0,2.0,0.0
KH00189,27.0,tieu_chuan,Nam,1.0,250.0,250.0,1.0,0.0
KH00190,68.0,tieu_chuan,Nam,24.0,310.0,7440.0,1.0,1.0
