ma_kh,tuoi,goi_cuoc,khu_vuc,so_thang_su_dung,cuoc_hang_thang,tong_cuoc,so_lan_goi_ho_tro,label
KM00001,42.0,co_ban,Nam,6.0,110.0,660.0,0.0,
KM00002,50.0,co_ban,Nam,7.0,100.0,700.0,1.0,
KM00003,,cao_cap,Trung,27.0,450.0,12150.0,1.0,
KM00004,53.0,tieu_chuan,Bac,84.0,300.0,25200.0,1.0,
KM00005,36.0,cao_cap,Bac,24.0,660.0,15840.0,1.0,
KM00006,18.0,co_ban,Bac,5.0,140.0,700.0,1.0,
KM00007,45.0,co_ban,Bac,21.0,110.0,2310.0,8.0,
KM00008,39.0,co_ban,Bac,6.0,100.0,600.0,3.0,
KM00009,36.0,co_ban,Bac,30.0,130.0,3900.0,0.0,
KM00010,,co_ban,Bac,29.0,100.0,2900.0,1.0,
KM00011,20.0,tieu_chuan,Bac,4.0,270.0,1080.0,2.0,
KM00012,37.0,co_ban,Bac,70.0,150.0,10500.0,8.0,
KM00013,37.0,co_ban,Trung,1.0,100.0,100.0,1.0,
KM00014,53.0,co_ban,Bac,38.0,140.0,5320.0,9.0,
KM00015,43.0,co_ban,Bac,12.0,130.0,1560.0,0.0,
KM00016,62.0,cao_cap,Bac,17.0,480.0,8160.0,6.0,
KM00017,53.0,cao_cap,Bac,3.0,550.0,1650.0,2.0,
KM00018,18.0,co_ban,Nam,6.0,140.0,840.0,1.0,
KM00019,44.0,tieu_chuan,Nam,59.0,210.0,12390.0,2.0,
KM00020,25.0,co_ban,Nam,2.0,130.0,260.0,1.0,
KM00021,34.0,cao_cap,Nam,10.0,490.0,4900.0,5.0,
KM00022,37.0,co_ban,Bac,17.0,140.0,2380.0,0.0,
KM00023,30.0,co_ban,Trung,4.0,140.0,560.0,0.0,
KM00024,18.0,co_ban,Bac,38.0,,3800.0,2.0,
KM00025,38.0,co_ban,Bac,7.0,,980.0,2.0,
KM00026,57.0,co_ban,Bac,27.0,100.0,2700.0,1.0,
KM00027,36.0,tieu_chuan,Bac,5.0,320.0,1600.0,2.0,
KM00028,33.0,co_ban,Trung,57.0,140.0,7980.0,1.0,
KM00029,30.0,tieu_chuan,Nam,38.0,290.0,11020.0,1.0,
KM00030,33.0,co_ban,Bac,4.0,140.0,560.0,1.0,
KM00031,18.0,co_ban,Bac,24.0,130.0,3120.0,0.0,
KM00032,42.0,tieu_chuan,Trung,54.0,200.0,10800.0,2.0,
KM00033,30.0,cao_cap,Bac,6.0,450.0,2700.0,0.0,
KM00034,25.0,cao_cap,Bac,29.0,560.0,16240.0,3.0,
KM00035,46.0,co_ban,Nam,53.0,100.0,5300.0,1.0,
KM00036,28.0,cao_cap,Bac,34.0,650.0,22100.0,2.0,
KM00037,25.0,co_ban,Nam,4.0,150.0,600.0,1.0,
KM00038,44.0,co_ban,Trung,67.0,150.0,10050.0,1.0,
KM00039,38.0,cao_cap,Nam,3.0,560.0,1680.0,1.0,
KM00040,47.0,co_ban,Bac,5.0,140.0,700.0,1.0,
KM00041,26.0,co_ban,Trung,20.0,100.0,2000.0,1.0,
KM00042,41.0,co_ban,Nam,30.0,110.0,3300.0,0.0,
KM00043,48.0,co_ban,Nam,2.0,130.0,260.0,0.0,
KM00044,56.0,co_ban,Nam,16.0,100.0,1600.0,2.0,
KM00045,50.0,co_ban,Trung,15.0,100.0,1500.0,1.0,
KM00046,25.0,co_ban,Nam,107.0,150.0,16050.0,1.0,
KM00047,24.0,co_ban,Bac,25.0,120.0,3000.0,3.0,
KM00048,44.0,tieu_chuan,Nam,56.0,220.0,12320.0,2.0,
KM00049,36.0,co_ban,Trung,22.0,100.0,2200.0,0.0,
KM00050,58.0,tieu_chuan,Bac,19.0,320.0,6080.0,3.0,
KM00051,64.0,co_ban,Nam,24.0,150.0,3600.0,1.0,
KM00052,35.0,tieu_chuan,Trung,26.0,240.0,6240.0,0.0,
KM00053,49.0,tieu_chuan,Bac,15.0,230.0,3450.0,2.0,
KM00054,52.0,cao_cap,Bac,34.0,460.0,15640.0,4.0,
