so_bao_danh,ma_tinh,diem_toan,diem_van,diem_anh
54000001,54,4.5,7.75,2.25
48000002,48,7.75,6.0,5.0
06000003,06,9.0,6.25,7.25
42000004,42,8.5,6.75,7.75
30000005,30,7.5,6.0,4.0
45000006,45,6.25,7.75,6.5
51000007,51,5.25,6.75,5.5
25000008,25,8.0,6.5,6.75
45000009,45,6.0,7.75,7.5
44000010,44,8.5,6.75,6.0
46000011,46,9.75,8.0,5.75
05000012,05,2.5,7.25,4.25
26000013,26,5.0,5.0,6.5
61000014,61,5.75,7.25,4.25
62000015,62,7.0,6.75,8.75
44000016,44,6.25,4.0,2.5
38000017,38,8.5,7.5,4.25
33000018,33,6.75,8.0,2.25
34000019,34,6.75,6.75,4.25
25000020,25,7.5,7.0,2.0
54000021,54,7.25,5.5,7.25
11000022,11,5.25,7.0,5.5
05000023,05,5.75,6.5,6.5
01000024,01,7.0,5.5,6.5
58000025,58,3.75,6.0,6.25
15000026,15,5.5,4.25,4.25
40000027,40,4.75,6.25,5.5
08000028,08,6.25,6.5,6.25
62000029,62,5.0,6.0,7.75
55000030,55,6.75,5.0,9.25
51000031,51,5.0,6.25,5.25
22000032,22,10.0,5.75,6.5
45000033,45,6.75,6.5,3.25
37000034,37,6.5,8.5,9.25
45000035,45,8.25,7.0,4.25
62000036,62,8.0,8.5,4.0
63000037,63,7.25,5.0,6.5
08000038,08,6.5,5.5,5.5
23000039,23,7.75,5.25,5.25
45000040,45,5.0,5.75,7.5
49000041,49,5.5,7.25,7.75
23000042,23,3.25,7.75,5.5
61000043,61,7.0,6.5,6.75
35000044,35,3.25,6.25,3.0
53000045,53,7.5,7.75,6.5
06000046,06,7.0,9.0,8.25
22000047,22,9.25,8.0,7.25
61000048,61,6.5,7.75,5.0
38000049,38,2.5,5.0,9.75
19000050,19,7.75,7.0,2.0
35000051,35,6.0,6.0,1.75
22000052,22,5.25,7.5,6.25
44000053,44,7.5,7.5,8.25
24000054,24,6.5,7.25,7.0
47000055,47,3.5,6.25,4.25
50000056,50,5.75,7.5,7.0
58000057,58,8.25,8.25,3.75
