ma_kh,ngay_dat,gia_tri
KH00220,2025-07-01,241000.0
KH02495,2025-07-01,198000.0
KH01028,2025-07-01,304000.0
KH02291,2025-07-01,217000.0
KH01140,2025-07-01,141000.0
KH00694,2025-07-01,538000.0
KH00027,2025-07-01,100000.0
KH01437,2025-07-01,228000.0
KH00941,2025-07-01,323000.0
KH00111,2025-07-01,185000.0
KH00309,2025-07-01,99000.0
KH00910,2025-07-01,352000.0
KH02003,2025-07-01,844000.0
KH01309,2025-07-01,425000.0
KH01264,2025-07-01,77000.0
KH00617,2025-07-01,200000.0
KH00166,2025-07-01,87000.0
KH00190,2025-07-01,211000.0
KH00686,2025-07-01,379000.0
KH00965,2025-07-01,645000.0
KH02372,2025-07-01,55000.0
KH02077,2025-07-01,963000.0
KH02216,2025-07-01,355000.0
KH00010,2025-07-01,365000.0
KH01004,2025-07-01,108000.0
KH02409,2025-07-01,237000.0
KH01018,2025-07-01,1015000.0
KH02344,2025-07-01,218000.0
KH02327,2025-07-01,262000.0
KH00537,2025-07-01,143000.0
KH00441,2025-07-01,104000.0
KH02311,2025-07-01,86000.0
KH00223,2025-07-01,53000.0
KH00816,2025-07-01,179000.0
KH01882,2025-07-01,202000.0
KH00942,2025-07-01,465000.0
KH02153,2025-07-01,79000.0
KH02296,2025-07-01,137000.0
KH01392,2025-07-01,189000.0
KH01851,2025-07-01,68000.0
KH00310,2025-07-01,198000.0
KH01908,2025-07-01,287000.0
KH01197,2025-07-01,67000.0
KH00899,2025-07-01,134000.0
KH01088,2025-07-01,465000.0
KH00561,2025-07-01,403000.0
KH01581,2025-07-01,84000.0
KH02327,2025-07-01,175000.0
KH01615,2025-07-01,39000.0
KH01267,2025-07-01,43000.0
KH00498,2025-07-01,363000.0
KH00334,2025-07-01,130000.0
KH01338,2025-07-01,134000.0
KH02099,2025-07-01,107000.0
KH00396,2025-07-01,119000.0
KH01185,2025-07-01,99000.0
KH01351,2025-07-01,99000.0
KH01187,2025-07-01,271000.0
KH02166,2025-07-01,124000.0
KH01220,2025-07-01,212000.0
KH01211,2025-07-01,700000.0
KH02267,2025-07-01,924000.0
KH02269,2025-07-01,125000.0
KH00361,2025-07-01,113000.0
KH02098,2025-07-01,381000.0
KH01725,2025-07-01,190000.0
KH00825,2025-07-01,179000.0
KH01006,2025-07-01,137000.0
KH01112,2025-07-01,210000.0
KH00839,2025-07-01,223000.0
KH00624,2025-07-01,179000.0
KH02259,2025-07-01,95000.0
KH01382,2025-07-01,59000.0
KH00327,2025-07-01,484000.0
KH02143,2025-07-01,75000.0
KH01651,2025-07-01,183000.0
KH00379,2025-07-01,247000.0
KH00836,2025-07-01,65000.0
KH01441,2025-07-01,179000.0
KH00771,2025-07-01,513000.0
KH02459,2025-07-01,153000.0
KH01293,2025-07-01,237000.0
KH00194,2025-07-01,185000.0
KH01293,2025-07-01,194000.0
KH02327,2025-07-01,144000.0
KH00718,2025-07-01,187000.0
KH02420,2025-07-01,59000.0
KH00992,2025-07-01,162000.0
KH00976,2025-07-01,389000.0
KH02102,2025-07-01,75000.0
KH02474,2025-07-01,125000.0
KH00338,2025-07-01,308000.0
KH00016,2025-07-02,96000.0
KH02007,2025-07-02,111000.0
KH01120,2025-07-02,191000.0
KH02292,2025-07-02,199000.0
KH00723,2025-07-02,122000.0
KH00648,2025-07-02,65000.0
KH01059,2025-07-02,257000.0
KH00938,2025-07-02,377000.0
KH01602,2025-07-02,198000.0
KH02473,2025-07-02,786000.0
KH01946,2025-07-02,357000.0
KH02056,2025-07-02,116000.0
KH00560,2025-07-02,544000.0
KH00142,2025-07-02,106000.0
KH01643,2025-07-02,49000.0
KH01579,2025-07-02,349000.0
KH02353,2025-07-02,150000.0
KH02256,2025-07-02,48000.0
KH01069,2025-07-02,281000.0
KH00697,2025-07-02,123000.0
KH00272,2025-07-02,146000.0
KH01138,2025-07-02,143000.0
KH00432,2025-07-02,116000.0
KH01788,2025-07-02,213000.0
KH02183,2025-07-02,169000.0
KH00537,2025-07-02,82000.0
KH01821,2025-07-02,301000.0
KH01302,2025-07-02,85000.0
KH02266,2025-07-02,151000.0
KH01527,2025-07-02,21000.0
KH02200,2025-07-02,132000.0
KH01529,2025-07-02,517000.0
KH01570,2025-07-02,206000.0
KH00448,2025-07-02,51000.0
KH01075,2025-07-02,518000.0
KH02319,2025-07-02,117000.0
KH00683,2025-07-02,149000.0
KH00631,2025-07-02,127000.0
KH00948,2025-07-02,226000.0
KH01799,2025-07-02,179000.0
KH00149,2025-07-02,64000.0
KH02060,2025-07-02,313000.0
KH00758,2025-07-02,66000.0
KH00938,2025-07-02,214000.0
KH02040,2025-07-02,76000.0
KH02022,2025-07-02,70000.0
KH00853,2025-07-02,147000.0
KH01195,2025-07-02,62000.0
KH02427,2025-07-02,41000.0
KH00565,2025-07-02,365000.0
KH01825,2025-07-02,194000.0
KH00126,2025-07-02,69000.0
KH00308,2025-07-02,152000.0
KH00814,2025-07-02,200000.0
KH00737,2025-07-02,186000.0
KH00066,2025-07-02,245000.0
KH00358,2025-07-02,80000.0
KH01256,2025-07-02,203000.0
KH01206,2025-07-02,37000.0
KH01879,2025-07-02,662000.0
KH00192,2025-07-02,34000.0
KH00723,2025-07-02,136000.0
KH02238,2025-07-02,776000.0
KH01112,2025-07-02,227000.0
KH00520,2025-07-02,399000.0
KH00869,2025-07-02,104000.0
KH02385,2025-07-02,43000.0
KH01341,2025-07-02,281000.0
KH00538,2025-07-02,387000.0
KH00661,2025-07-02,410000.0
KH01758,2025-07-02,120000.0
KH00766,2025-07-02,121000.0
KH00135,2025-07-02,385000.0
KH02284,2025-07-02,393000.0
KH01472,2025-07-02,106000.0
KH00446,2025-07-02,463000.0
KH00677,2025-07-02,100000.0
KH02067,2025-07-03,208000.0
KH01963,2025-07-03,34000.0
KH01601,2025-07-03,165000.0
KH00187,2025-07-03,274000.0
KH00746,2025-07-03,171000.0
KH00308,2025-07-03,186000.0
KH02046,2025-07-03,731000.0
KH00558,2025-07-03,339000.0
KH00017,2025-07-03,95000.0
KH00910,2025-07-03,120000.0
KH01851,2025-07-03,214000.0
KH01555,2025-07-03,160000.0
KH00647,2025-07-03,345000.0
KH01506,2025-07-03,517000.0
KH02273,2025-07-03,202000.0
KH02360,2025-07-03,340000.0
KH01209,2025-07-03,1375000.0
KH00159,2025-07-03,163000.0
KH00491,2025-07-03,236000.0
KH00647,2025-07-03,188000.0
KH02436,2025-07-03,509000.0
KH01594,2025-07-03,247000.0
KH02168,2025-07-03,126000.0
KH00884,2025-07-03,503000.0
KH01397,2025-07-03,230000.0
KH00497,2025-07-03,163000.0
KH02321,2025-07-03,703000.0
KH00018,2025-07-03,179000.0
KH02372,2025-07-03,245000.0
KH01061,2025-07-03,138000.0
KH01081,2025-07-03,100000.0
KH00212,2025-07-03,890000.0
KH02158,2025-07-03,499000.0
KH02063,2025-07-03,85000.0
KH01125,2025-07-03,40000.0
KH02499,2025-07-03,295000.0
KH00506,2025-07-03,394000.0
KH00628,2025-07-03,317000.0
KH01933,2025-07-03,151000.0
KH00132,2025-07-03,121000.0
KH02338,2025-07-03,224000.0
KH01233,2025-07-03,489000.0
KH01935,2025-07-03,114000.0
KH00224,2025-07-03,121000.0
KH00884,2025-07-03,214000.0
KH01525,2025-07-03,246000.0
KH01844,2025-07-03,80000.0
KH02090,2025-07-03,111000.0
KH01856,2025-07-03,268000.0
KH01414,2025-07-03,1158000.0
KH01490,2025-07-03,559000.0
KH00838,2025-07-03,189000.0
KH00622,2025-07-03,96000.0
KH01679,2025-07-03,266000.0
KH00527,2025-07-03,263000.0
KH00889,2025-07-03,311000.0
KH00486,2025-07-03,127000.0
KH00963,2025-07-03,245000.0
KH00059,2025-07-03,391000.0
KH01032,2025-07-03,112000.0
KH00163,2025-07-03,67000.0
KH01195,2025-07-03,259000.0
KH01522,2025-07-03,442000.0
KH00427,2025-07-03,57000.0
KH00739,2025-07-03,277000.0
KH02068,2025-07-03,152000.0
KH00040,2025-07-03,296000.0
KH01998,2025-07-03,625000.0
KH00473,2025-07-03,737000.0
KH01688,2025-07-03,200000.0
KH01225,2025-07-03,397000.0
KH01293,2025-07-03,60000.0
KH00012,2025-07-03,50000.0
KH00128,2025-07-03,79000.0
KH01413,2025-07-03,501000.0
KH01058,2025-07-03,93000.0
KH01648,2025-07-03,227000.0
KH01314,2025-07-03,494000.0
KH02096,2025-07-03,103000.0
KH02200,2025-07-03,176000.0
KH02130,2025-07-03,239000.0
