ma_don,ma_kh,san_pham,danh_muc,so_luong,don_gia,ngay_dat,khu_vuc
D00001,KH11,Noi com dien,Gia dung,5,55.6,2024-12-20,Bac
D00002,KH34,Tai nghe,Dien tu,1,40.6,2025-01-03,Nam
D00003,KH35,Noi com dien,Gia dung,2,49.9,2024-12-22,Bac
D00004,KH04,Giay the thao,Thoi trang,11,60.8,2024-08-28,Trung
D00005,KH09,Laptop,Dien tu,2,1558.0,2024-09-07,Bac
D00006,KH23,Quan jean,Thoi trang,5,35.2,2024-12-07,Bac
D00007,KH23,May xay,Gia dung,2,43.8,2024-07-08,Nam
D00008,KH11,Tai nghe,Dien tu,3,45.9,2025-01-07,Trung
D00009,KH35,Sach Spark,Sach,6,23.9,2024-12-24,Bac
D00010,KH07,Ao thun,Thoi trang,3,11.3,2024-09-12,Nam
D00011,KH33,Dien thoai,Dien tu,3,750.7,2024-09-05,Bac
D00012,KH04,Sach Spark,Sach,11,23.8,2025-02-15,Nam
D00013,KH07,May xay,Gia dung,11,42.3,2024-05-25,Bac
D00014,KH07,Giay the thao,Thoi trang,7,61.6,2025-02-15,Trung
D00015,KH19,Tai nghe,Dien tu,1,41.9,2024-05-27,Trung
D00016,KH02,Quan jean,Thoi trang,4,34.8,2024-09-15,Trung
D00017,KH35,Ao thun,Thoi trang,2,13.7,2024-08-06,Trung
D00018,KH26,Sach Python,Sach,6,19.3,2024-12-05,Trung
D00019,KH07,Dien thoai,Dien tu,3,821.7,2024-07-02,Trung
D00020,KH31,Sach Spark,Sach,9,27.5,2024-11-03,Trung
D00021,KH02,Dien thoai,Dien tu,1,765.7,2024-07-24,Bac
D00022,KH38,Laptop,Dien tu,2,1389.9,2024-05-16,Nam
D00023,KH13,Dien thoai,Dien tu,2,826.1,2025-01-15,Nam
D00024,KH13,Quan jean,Thoi trang,9,35.8,2024-05-06,Nam
D00025,KH03,Giay the thao,Thoi trang,10,62.4,2024-07-22,Bac
D00026,KH37,Dien thoai,Dien tu,2,788.4,2024-08-17,Nam
D00027,KH12,Noi com dien,Gia dung,1,55.2,2025-02-05,Nam
D00028,KH14,Tai nghe,Dien tu,1,44.0,2024-09-22,Nam
D00029,KH14,Dien thoai,Dien tu,1,731.1,2024-03-05,Bac
D00030,KH08,Sach Spark,Sach,9,26.3,2024-07-01,Bac
D00031,KH22,Laptop,Dien tu,3,1533.8,2024-10-08,Bac
D00032,KH17,May xay,Gia dung,9,37.7,2024-04-22,Bac
D00033,KH38,Sach Spark,Sach,10,22.6,2025-02-06,Trung
D00034,KH28,Sach Python,Sach,2,20.7,2024-09-27,Nam
D00035,KH07,Ao thun,Thoi trang,6,13.7,2024-05-28,Trung
D00036,KH31,Giay the thao,Thoi trang,11,63.7,2024-12-29,Nam
D00037,KH31,Dien thoai,Dien tu,2,865.7,2024-09-26,Trung
D00038,KH10,Sach Python,Sach,2,20.1,2024-10-04,Bac
D00039,KH38,Tai nghe,Dien tu,1,46.0,2024-03-02,Nam
D00040,KH01,Sach Spark,Sach,2,23.9,2024-11-26,Bac
D00041,KH05,May xay,Gia dung,10,41.9,2024-08-22,Bac
D00042,KH15,Sach Spark,Sach,7,26.5,2025-01-20,Bac
D00043,KH22,Dien thoai,Dien tu,2,784.4,2024-07-07,Bac
D00044,KH18,Laptop,Dien tu,1,1435.8,2024-06-29,Trung
D00045,KH30,Sach Python,Sach,5,21.9,2025-01-04,Trung
D00046,KH40,Tai nghe,Dien tu,2,47.5,2024-09-01,Nam
D00047,KH10,Laptop,Dien tu,1,1462.6,2025-02-24,Nam
D00048,KH40,Tai nghe,Dien tu,2,42.8,2024-11-05,Nam
D00049,KH40,May xay,Gia dung,10,43.5,2024-08-06,Nam
D00050,KH40,May xay,Gia dung,9,41.4,2024-11-27,Nam
D00051,KH29,Sach Python,Sach,4,20.7,2024-03-06,Bac
D00052,KH12,Dien thoai,Dien tu,3,873.9,2024-08-24,Nam
D00053,KH22,Sach Python,Sach,10,21.3,2024-09-23,Nam
D00054,KH07,Ao thun,Thoi trang,9,11.4,2024-12-22,Bac
D00055,KH01,Dien thoai,Dien tu,3,783.1,2024-12-27,Nam
D00056,KH39,Tai nghe,Dien tu,2,49.0,2024-11-14,Nam
D00057,KH27,Dien thoai,Dien tu,3,774.7,2024-07-04,Trung
D00058,KH36,Laptop,Dien tu,1,1412.3,2024-05-31,Bac
D00059,KH07,Laptop,Dien tu,2,1386.4,2024-07-01,Bac
D00060,KH40,Quan jean,Thoi trang,10,34.8,2024-09-30,Bac
D00061,KH02,Noi com dien,Gia dung,6,53.0,2024-09-15,Bac
D00062,KH28,Dien thoai,Dien tu,1,769.5,2025-02-18,Nam
D00063,KH19,Tai nghe,Dien tu,1,42.4,2024-12-07,Trung
D00064,KH23,Dien thoai,Dien tu,3,767.4,2024-06-30,Bac
D00065,KH18,Sach Python,Sach,4,20.8,2024-08-17,Nam
