ma_gd,ma_kh,so_tien,trang_thai,thoi_gian
GD000001,KH00818,485000.0,THANH CONG,2026-01-01 00:31:00
GD000002,KH01961,417000.0,THANH CONG,2026-01-01 00:52:00
GD000003,KH00998,336000.0,THAT BAI,2026-01-01 00:53:00
GD000004,KH00503,172000.0,CHO XU LY,2026-01-01 00:54:00
GD000005,KH00526,2236000.0,THANH CONG,2026-01-01 01:15:00
GD000006,KH00905,160000.0,THANH CONG,2026-01-01 01:26:00
GD000007,KH00980,398000.0,THANH CONG,2026-01-01 01:29:00
GD000008,KH00155,147000.0,THANH CONG,2026-01-01 01:46:00
GD000009,KH01596,431000.0,THANH CONG,2026-01-01 02:43:00
GD000010,KH01750,124000.0,THANH CONG,2026-01-01 02:43:00
GD000011,KH01887,667000.0,THANH CONG,2026-01-01 02:50:00
GD000012,KH00102,421000.0,THANH CONG,2026-01-01 03:02:00
GD000013,KH00808,1101000.0,CHO XU LY,2026-01-01 03:05:00
GD000014,KH02454,563000.0,THANH CONG,2026-01-01 03:11:00
GD000015,KH02348,2305000.0,THANH CONG,2026-01-01 03:31:00
GD000016,KH01200,144000.0,THANH CONG,2026-01-01 04:02:00
GD000017,KH01793,465000.0,THAT BAI,2026-01-01 04:03:00
GD000018,KH00769,308000.0,THANH CONG,2026-01-01 04:09:00
GD000019,KH00465,345000.0,THANH CONG,2026-01-01 04:20:00
GD000020,KH01846,932000.0,THANH CONG,2026-01-01 04:24:00
GD000021,KH01388,307000.0,THANH CONG,2026-01-01 04:48:00
GD000022,KH00296,509000.0,THANH CONG,2026-01-01 04:53:00
GD000023,KH01918,743000.0,THANH CONG,2026-01-01 05:09:00
GD000024,KH01285,1350000.0,THANH CONG,2026-01-01 05:10:00
GD000025,KH01236,168000.0,THANH CONG,2026-01-01 05:23:00
GD000026,KH00003,416000.0,THANH CONG,2026-01-01 05:44:00
GD000027,KH02773,278000.0,THANH CONG,2026-01-01 05:59:00
GD000028,KH01534,1704000.0,THAT BAI,2026-01-01 05:59:00
GD000029,KH02738,623000.0,THANH CONG,2026-01-01 06:28:00
GD000030,KH01249,427000.0,CHO XU LY,2026-01-01 06:29:00
GD000031,KH01412,355000.0,THANH CONG,2026-01-01 06:39:00
GD000032,KH02465,191000.0,THANH CONG,2026-01-01 06:42:00
GD000033,KH00642,246000.0,THANH CONG,2026-01-01 07:11:00
GD000034,KH01662,147000.0,CHO XU LY,2026-01-01 07:42:00
GD000035,KH01706,265000.0,THANH CONG,2026-01-01 07:46:00
GD000036,KH02289,353000.0,THANH CONG,2026-01-01 07:57:00
GD000037,KH00563,1267000.0,THANH CONG,2026-01-01 08:08:00
GD000038,KH02843,364000.0,THANH CONG,2026-01-01 08:12:00
GD000039,KH01069,885000.0,THANH CONG,2026-01-01 08:14:00
GD000040,KH01694,1013000.0,THANH CONG,2026-01-01 08:37:00
GD000041,KH00183,391000.0,THANH CONG,2026-01-01 08:41:00
GD000042,KH02797,235000.0,THANH CONG,2026-01-01 08:41:00
GD000043,KH02759,4556000.0,THANH CONG,2026-01-01 08:57:00
GD000044,KH00787,273000.0,THANH CONG,2026-01-01 09:00:00
GD000045,KH02818,247000.0,THANH CONG,2026-01-01 09:37:00
GD000046,KH02120,424000.0,THANH CONG,2026-01-01 10:05:00
GD000047,KH00575,254000.0,THANH CONG,2026-01-01 10:06:00
GD000048,KH01825,141000.0,CHO XU LY,2026-01-01 10:08:00
GD000049,KH00638,492000.0,CHO XU LY,2026-01-01 10:12:00
GD000050,KH00825,929000.0,THANH CONG,2026-01-01 10:19:00
GD000051,KH01047,654000.0,THANH CONG,2026-01-01 10:19:00
GD000052,KH00570,256000.0,THANH CONG,2026-01-01 10:28:00
GD000053,KH01915,442000.0,CHO XU LY,2026-01-01 10:53:00
GD000054,KH00806,2604000.0,THANH CONG,2026-01-01 10:57:00
GD000055,KH00449,237000.0,THAT BAI,2026-01-01 11:01:00
GD000056,KH00559,1545000.0,THANH CONG,2026-01-01 11:02:00
GD000057,KH01614,1246000.0,THANH CONG,2026-01-01 11:24:00
GD000058,KH00466,147000.0,THANH CONG,2026-01-01 11:38:00
GD000059,KH02473,490000.0,THANH CONG,2026-01-01 11:47:00
GD000060,KH01248,377000.0,THANH CONG,2026-01-01 13:21:00
GD000061,KH01763,770000.0,THANH CONG,2026-01-01 13:40:00
GD000062,KH00806,214000.0,CHO XU LY,2026-01-01 13:46:00
GD000063,KH01107,695000.0,THANH CONG,2026-01-01 13:55:00
GD000064,KH02944,298000.0,THAT BAI,2026-01-01 14:01:00
GD000065,KH00502,166000.0,THANH CONG,2026-01-01 14:22:00
GD000066,KH00890,1211000.0,THANH CONG,2026-01-01 14:28:00
GD000067,KH00325,3581000.0,THANH CONG,2026-01-01 14:30:00
GD000068,KH01940,735000.0,THANH CONG,2026-01-01 14:36:00
GD000069,KH01324,379000.0,THANH CONG,2026-01-01 14:43:00
GD000070,KH02870,198000.0,THANH CONG,2026-01-01 15:00:00
GD000071,KH00045,371000.0,THANH CONG,2026-01-01 15:03:00
GD000072,KH01777,275000.0,THANH CONG,2026-01-01 15:04:00
GD000073,KH00002,120000.0,THANH CONG,2026-01-01 15:31:00
GD000074,KH02790,1113000.0,THANH CONG,2026-01-01 15:46:00
GD000075,KH01110,418000.0,THANH CONG,2026-01-01 15:46:00
GD000076,KH00549,209000.0,THANH CONG,2026-01-01 15:57:00
GD000077,KH00737,594000.0,THANH CONG,2026-01-01 16:12:00
GD000078,KH02638,151000.0,THANH CONG,2026-01-01 16:33:00
GD000079,KH02463,415000.0,THANH CONG,2026-01-01 16:46:00
GD000080,KH00611,1001000.0,THANH CONG,2026-01-01 16:48:00
GD000081,KH00069,614000.0,THANH CONG,2026-01-01 17:09:00
GD000082,KH02124,259000.0,THAT BAI,2026-01-01 17:29:00
GD000083,KH01048,434000.0,THANH CONG,2026-01-01 17:29:00
GD000084,KH00788,337000.0,THANH CONG,2026-01-01 17:38:00
GD000085,KH01261,170000.0,CHO XU LY,2026-01-01 17:39:00
GD000086,KH00114,1035000.0,THANH CONG,2026-01-01 17:51:00
GD000087,KH01805,1036000.0,THANH CONG,2026-01-01 18:21:00
GD000088,KH02989,267000.0,THANH CONG,2026-01-01 18:31:00
GD000089,KH00090,394000.0,CHO XU LY,2026-01-01 18:34:00
GD000090,KH02448,660000.0,THANH CONG,2026-01-01 18:36:00
GD000091,KH00405,127000.0,THANH CONG,2026-01-01 18:37:00
GD000092,KH01880,1682000.0,THAT BAI,2026-01-01 19:14:00
GD000093,KH02574,255000.0,THAT BAI,2026-01-01 19:17:00
GD000094,KH01452,446000.0,THANH CONG,2026-01-01 19:49:00
GD000095,KH01848,2437000.0,THANH CONG,2026-01-01 19:56:00
GD000096,KH00500,204000.0,THAT BAI,2026-01-01 20:05:00
GD000097,KH00187,341000.0,THANH CONG,2026-01-01 20:06:00
GD000098,KH02546,992000.0,THANH CONG,2026-01-01 20:15:00
GD000099,KH02367,780000.0,THANH CONG,2026-01-01 20:26:00
GD000100,KH02521,1411000.0,CHO XU LY,2026-01-01 20:48:00
GD000101,KH00245,645000.0,THANH CONG,2026-01-01 20:50:00
GD000102,KH01899,966000.0,THANH CONG,2026-01-01 20:59:00
GD000103,KH00268,144000.0,THANH CONG,2026-01-01 21:12:00
GD000104,KH00704,634000.0,THAT BAI,2026-01-01 21:34:00
GD000105,KH00384,246000.0,THANH CONG,2026-01-01 21:47:00
GD000106,KH01986,284000.0,THANH CONG,2026-01-01 21:51:00
GD000107,KH01600,374000.0,THANH CONG,2026-01-01 21:54:00
GD000108,KH00123,1908000.0,THANH CONG,2026-01-01 21:56:00
GD000109,KH02629,248000.0,THANH CONG,2026-01-01 22:01:00
GD000110,KH02531,175000.0,THANH CONG,2026-01-01 22:02:00
GD000111,KH00266,247000.0,THANH CONG,2026-01-01 22:03:00
GD000112,KH01627,145000.0,THANH CONG,2026-01-01 22:08:00
GD000113,KH02014,1132000.0,THANH CONG,2026-01-01 22:56:00
GD000114,KH02931,745000.0,THANH CONG,2026-01-01 23:02:00
GD000115,KH00997,518000.0,THANH CONG,2026-01-01 23:02:00
GD000116,KH02928,350000.0,THANH CONG,2026-01-01 23:10:00
GD000117,KH00618,527000.0,THANH CONG,2026-01-01 23:10:00
GD000118,KH00255,1715000.0,THAT BAI,2026-01-01 23:19:00
