ma_kh,tuoi,thu_nhap,chi_tieu,nghe_nghiep,thanh_pho,so_don_hang,diem_chi_tieu
KH00001,36.0,10.2,8.4,ky_su,Ha Noi,5,88.0
KH00002,31.0,46.2,37.9,kinh_doanh,TP HCM,10,83.0
KH00003,28.0,9.6,7.1,giao_vien,TP HCM,2,78.0
KH00004,26.0,4.4,0.5,sinh_vien,Ha Noi,0,10.0
KH00005,24.0,11.5,2.8,giao_vien,Ha Noi,0,25.0
KH00006,34.0,14.8,11.2,nhan_vien,TP HCM,3,65.0
KH00007,50.0,28.8,15.0,ky_su,Ha Noi,5,62.0
KH00008,29.0,17.6,9.9,bac_si,Da Nang,3,46.0
KH00009,47.0,15.3,13.1,nhan_vien,Ha Noi,2,98.0
KH00010,34.0,17.0,8.3,nhan_vien,Da Nang,0,51.0
KH00011,56.0,20.5,10.3,ky_su,TP HCM,4,44.0
KH00012,37.0,4.5,2.2,giao_vien,Ha Noi,0,45.0
KH00013,45.0,10.9,7.9,nhan_vien,Ha Noi,0,86.0
KH00014,28.0,8.6,9.6,nhan_vien,Hai Phong,5,100.0
KH00015,39.0,10.8,10.0,kinh_doanh,Hai Phong,3,100.0
KH00016,24.0,31.6,20.7,nhan_vien,Can Tho,3,69.0
KH00017,38.0,12.1,8.5,ky_su,Ha Noi,0,83.0
KH00018,39.0,87.0,36.8,bac_si,Ha Noi,10,43.0
KH00019,32.0,21.0,12.1,nhan_vien,Da Nang,4,48.0
KH00020,35.0,9.1,7.0,nhan_vien,Ha Noi,1,86.0
KH00021,33.0,18.8,13.6,nhan_vien,Da Nang,3,83.0
KH00022,38.0,35.5,17.2,kinh_doanh,Ha Noi,2,51.0
KH00023,39.0,11.6,6.1,nhan_vien,TP HCM,1,45.0
KH00024,33.0,15.7,13.1,ky_su,Can Tho,2,78.0
KH00025,45.0,16.2,9.5,nhan_vien,Ha Noi,3,61.0
KH00026,26.0,15.7,11.3,kinh_doanh,TP HCM,1,85.0
KH00027,55.0,8.4,4.3,giao_vien,Ha Noi,1,54.0
KH00028,23.0,18.4,7.3,ky_su,Ha Noi,3,47.0
KH00029,35.0,10.3,10.5,ky_su,TP HCM,3,83.0
KH00030,29.0,41.8,36.3,ky_su,Ha Noi,7,89.0
KH00031,18.0,18.6,7.5,nhan_vien,Hai Phong,4,40.0
KH00032,34.0,18.2,10.9,nhan_vien,TP HCM,2,56.0
KH00033,45.0,31.5,21.5,ky_su,Hai Phong,5,79.0
KH00034,28.0,31.2,21.9,kinh_doanh,Ha Noi,7,60.0
KH00035,33.0,19.6,17.0,nhan_vien,Can Tho,2,76.0
KH00036,58.0,5.6,4.8,sinh_vien,Da Nang,3,74.0
KH00037,18.0,9.5,7.6,giao_vien,Hai Phong,4,79.0
KH00038,37.0,4.8,3.4,sinh_vien,Ha Noi,1,67.0
KH00039,48.0,6.2,4.6,sinh_vien,Can Tho,1,80.0
KH00040,38.0,41.1,24.5,ky_su,Da Nang,6,58.0
KH00041,38.0,14.5,8.7,nhan_vien,Ha Noi,2,70.0
KH00042,40.0,43.2,36.3,nhan_vien,TP HCM,10,78.0
KH00043,27.0,27.5,9.3,kinh_doanh,TP HCM,4,38.0
KH00044,30.0,14.5,5.1,giao_vien,Hai Phong,0,30.0
KH00045,32.0,50.4,41.3,bac_si,Ha Noi,16,81.0
KH00046,39.0,8.7,3.7,nhan_vien,Ha Noi,0,43.0
KH00047,38.0,6.2,5.0,giao_vien,Can Tho,2,89.0
KH00048,39.0,17.9,9.6,giao_vien,Da Nang,1,62.0
KH00049,37.0,8.0,3.6,sinh_vien,TP HCM,0,36.0
KH00050,34.0,9.8,4.9,nhan_vien,TP HCM,0,42.0
KH00051,37.0,28.0,15.0,kinh_doanh,Can Tho,5,45.0
KH00052,37.0,14.4,7.1,ky_su,Hai Phong,4,44.0
KH00053,31.0,12.8,5.1,giao_vien,Ha Noi,3,36.0
KH00054,50.0,14.4,5.0,nhan_vien,TP HCM,3,39.0
KH00055,37.0,11.3,5.4,ky_su,Ha Noi,1,49.0
KH00056,32.0,27.8,12.9,kinh_doanh,Hai Phong,4,42.0
KH00057,39.0,14.9,7.7,nhan_vien,TP HCM,3,56.0
KH00058,51.0,20.5,8.5,kinh_doanh,TP HCM,2,38.0
KH00059,52.0,11.0,8.3,nhan_vien,TP HCM,2,68.0
KH00060,55.0,10.4,6.9,nhan_vien,Da Nang,3,60.0
KH00061,50.0,62.4,46.2,ky_su,TP HCM,12,60.0
KH00062,32.0,5.5,5.7,sinh_vien,Hai Phong,2,91.0
KH00063,30.0,8.1,6.4,nhan_vien,TP HCM,1,76.0
KH00064,46.0,21.8,10.6,bac_si,TP HCM,3,49.0
KH00065,33.0,38.1,19.7,ky_su,TP HCM,5,45.0
KH00066,26.0,22.8,6.6,kinh_doanh,TP HCM,2,24.0
KH00067,42.0,9.4,6.7,giao_vien,TP HCM,3,65.0
KH00068,18.0,32.9,16.5,ky_su,Ha Noi,1,49.0
KH00069,25.0,49.2,39.7,bac_si,Can Tho,6,93.0
KH00070,35.0,17.7,17.9,nhan_vien,Ha Noi,3,100.0
KH00071,32.0,12.1,7.0,kinh_doanh,Ha Noi,2,60.0
KH00072,25.0,11.8,8.8,nhan_vien,Ha Noi,1,78.0
KH00073,37.0,6.7,4.3,sinh_vien,Ha Noi,0,66.0
KH00074,39.0,2.9,0.5,sinh_vien,Can Tho,0,18.0
KH00075,28.0,23.1,13.0,ky_su,TP HCM,4,58.0
KH00076,36.0,19.6,18.7,nhan_vien,Ha Noi,5,90.0
KH00077,23.0,22.8,18.9,ky_su,Ha Noi,3,90.0
KH00078,18.0,12.0,4.9,giao_vien,Ha Noi,1,38.0
KH00079,25.0,8.2,6.0,nhan_vien,TP HCM,3,65.0
KH00080,36.0,16.2,12.7,giao_vien,Ha Noi,1,79.0
KH00081,34.0,16.9,5.0,ky_su,TP HCM,2,33.0
KH00082,26.0,32.0,25.9,bac_si,Ha Noi,7,69.0
KH00083,41.0,72.3,28.7,bac_si,Hai Phong,7,41.0
KH00084,20.0,14.7,12.5,bac_si,Ha Noi,5,93.0
KH00085,48.0,16.7,9.0,nhan_vien,Can Tho,5,50.0
KH00086,36.0,23.3,17.3,nhan_vien,Ha Noi,8,82.0
KH00087,49.0,30.8,20.7,ky_su,Da Nang,8,71.0
KH00088,30.0,3.5,2.1,sinh_vien,Da Nang,2,71.0
KH00089,40.0,16.9,6.5,kinh_doanh,TP HCM,2,44.0
KH00090,18.0,30.8,16.8,kinh_doanh,TP HCM,4,50.0
KH00091,63.0,5.4,0.5,sinh_vien,Da Nang,0,8.0
KH00092,34.0,9.1,6.5,nhan_vien,Da Nang,2,78.0
KH00093,51.0,69.1,32.9,kinh_doanh,Da Nang,6,47.0
KH00094,45.0,11.1,4.9,nhan_vien,Ha Noi,1,49.0
KH00095,31.0,14.1,12.9,ky_su,TP HCM,4,100.0
KH00096,33.0,21.0,16.9,kinh_doanh,Ha Noi,6,80.0
KH00097,48.0,18.9,9.3,nhan_vien,Da Nang,5,40.0
KH00098,35.0,25.3,12.4,nhan_vien,TP HCM,6,42.0
KH00099,37.0,17.5,10.2,nhan_vien,TP HCM,3,65.0
KH00100,27.0,12.5,9.8,nhan_vien,Ha Noi,2,64.0
KH00101,18.0,16.0,14.8,nhan_vien,Da Nang,5,100.0
KH00102,40.0,19.5,8.4,bac_si,Ha Noi,3,39.0
KH00103,53.0,35.7,21.6,nhan_vien,Da Nang,7,60.0
KH00104,18.0,11.3,3.7,giao_vien,TP HCM,1,38.0
KH00105,52.0,18.9,8.2,nhan_vien,Da Nang,2,48.0
KH00106,49.0,6.8,5.3,nhan_vien,TP HCM,3,92.0
KH00107,26.0,13.8,7.5,nhan_vien,Ha Noi,2,53.0
KH00108,31.0,59.2,29.5,ky_su,TP HCM,7,43.0
KH00109,28.0,12.5,7.6,kinh_doanh,Ha Noi,2,51.0
KH00110,18.0,18.6,10.0,ky_su,Da Nang,1,52.0
KH00111,45.0,18.1,14.0,bac_si,Ha Noi,1,87.0
KH00112,50.0,7.7,0.5,nhan_vien,Hai Phong,1,6.0
KH00113,38.0,19.8,15.4,nhan_vien,TP HCM,0,79.0
KH00114,48.0,6.7,4.9,bac_si,TP HCM,1,83.0
KH00115,20.0,42.1,28.5,ky_su,TP HCM,12,76.0
KH00116,40.0,23.0,19.0,kinh_doanh,TP HCM,6,74.0
KH00117,54.0,15.7,10.4,giao_vien,Ha Noi,1,63.0
KH00118,35.0,10.7,9.8,giao_vien,Ha Noi,2,98.0
KH00119,43.0,18.9,10.3,ky_su,Ha Noi,1,53.0
KH00120,34.0,22.1,9.7,nhan_vien,Ha Noi,3,52.0
KH00121,22.0,10.1,7.2,giao_vien,TP HCM,1,78.0
KH00122,37.0,27.4,13.9,nhan_vien,TP HCM,7,41.0
